ActiveIngredient,Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
RUXOLITINIB,G74,List of FDA Approved Drugs,RUXOLITINIB,RUXOLITINIB - NDA,2011-11-16,2011-11-16,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SACITUZUMAB GOVITECAN-HZIY,G74,List of FDA Approved Drugs,SACITUZUMAB GOVITECAN-HZIY,SACITUZUMAB GOVITECAN-HZIY - BLA,2020-04-22,2020-04-22,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SACROSIDASE,G74,List of FDA Approved Drugs,SACROSIDASE,SACROSIDASE - BLA,1998-04-09,1998-04-09,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SACUBITRIL; VALSARTAN,G74,List of FDA Approved Drugs,SACUBITRIL; VALSARTAN,SACUBITRIL; VALSARTAN - NDA,2015-07-07,2015-07-07,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SAFINAMIDE,G74,List of FDA Approved Drugs,SAFINAMIDE,SAFINAMIDE - NDA,2017-03-21,2017-03-21,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SAPROPTERIN DIHYDROCHLORIDE,G74,List of FDA Approved Drugs,SAPROPTERIN DIHYDROCHLORIDE,SAPROPTERIN DIHYDROCHLORIDE - NDA,2007-12-13,2007-12-13,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SARECYCLINE,G74,List of FDA Approved Drugs,SARECYCLINE,SARECYCLINE - NDA,2018-10-01,2018-10-01,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SARILUMAB,G74,List of FDA Approved Drugs,SARILUMAB,SARILUMAB - BLA,2017-05-22,2017-05-22,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SATRALIZUMAB,G74,List of FDA Approved Drugs,SATRALIZUMAB,SATRALIZUMAB - BLA,2020-08-14,2020-08-14,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SAXAGLIPTIN,G74,List of FDA Approved Drugs,SAXAGLIPTIN,SAXAGLIPTIN - NDA,2009-07-31,2009-07-31,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SEBELIPASE ALFA,G74,List of FDA Approved Drugs,SEBELIPASE ALFA,SEBELIPASE ALFA - BLA,2015-12-08,2015-12-08,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SECNIDAZOLE,G74,List of FDA Approved Drugs,SECNIDAZOLE,SECNIDAZOLE - NDA,2017-09-15,2017-09-15,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SECRETIN SYNTHETIC HUMAN,G74,List of FDA Approved Drugs,SECRETIN SYNTHETIC HUMAN,SECRETIN SYNTHETIC HUMAN - NDA,2004-04-09,2004-04-09,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SECUKINUMAB,G74,List of FDA Approved Drugs,SECUKINUMAB,SECUKINUMAB - BLA,2015-01-21,2015-01-21,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SELEXIPAG,G74,List of FDA Approved Drugs,SELEXIPAG,SELEXIPAG - NDA,2015-12-21,2015-12-21,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SELINEXOR,G74,List of FDA Approved Drugs,SELINEXOR,SELINEXOR - NDA,2019-07-03,2019-07-03,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SELPERCATINIB,G74,List of FDA Approved Drugs,SELPERCATINIB,SELPERCATINIB - NDA,2020-05-08,2020-05-08,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SELUMETINIB,G74,List of FDA Approved Drugs,SELUMETINIB,SELUMETINIB - NDA,2020-04-10,2020-04-10,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SEMAGLUTIDE,G74,List of FDA Approved Drugs,SEMAGLUTIDE,SEMAGLUTIDE - NDA,2017-12-05,2017-12-05,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SERTACONAZOLE,G74,List of FDA Approved Drugs,SERTACONAZOLE,SERTACONAZOLE - NDA,2003-12-10,2003-12-10,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SETMELANOTIDE,G74,List of FDA Approved Drugs,SETMELANOTIDE,SETMELANOTIDE - NDA,2020-11-25,2020-11-25,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SEVELAMER,G74,List of FDA Approved Drugs,SEVELAMER,SEVELAMER - NDA,1998-10-30,1998-10-30,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SILDENAFIL,G74,List of FDA Approved Drugs,SILDENAFIL,SILDENAFIL - NDA,1998-03-27,1998-03-27,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SILODOSIN,G74,List of FDA Approved Drugs,SILODOSIN,SILODOSIN - NDA,2008-10-08,2008-10-08,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SILTUXIMAB,G74,List of FDA Approved Drugs,SILTUXIMAB,SILTUXIMAB - BLA,2014-04-23,2014-04-23,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SIMEPREVIR,G74,List of FDA Approved Drugs,SIMEPREVIR,SIMEPREVIR - NDA,2013-11-22,2013-11-22,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SINECATECHINS,G74,List of FDA Approved Drugs,SINECATECHINS,SINECATECHINS - NDA,2006-10-31,2006-10-31,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SIPONIMOD FUMARIC ACID,G74,List of FDA Approved Drugs,SIPONIMOD FUMARIC ACID,SIPONIMOD FUMARIC ACID - NDA,2019-03-26,2019-03-26,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SIROLIMUS,G74,List of FDA Approved Drugs,SIROLIMUS,SIROLIMUS - NDA,1999-09-15,1999-09-15,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SITAGLIPTIN,G74,List of FDA Approved Drugs,SITAGLIPTIN,SITAGLIPTIN - NDA,2006-10-16,2006-10-16,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SODIUM OXYBATE,G74,List of FDA Approved Drugs,SODIUM OXYBATE,SODIUM OXYBATE - NDA,2002-07-17,2002-07-17,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SODIUM PHENYLBUTYRATE; TAURURSODIOL,G74,List of FDA Approved Drugs,SODIUM PHENYLBUTYRATE; TAURURSODIOL,SODIUM PHENYLBUTYRATE; TAURURSODIOL - NDA,2022-09-29,2022-09-29,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SODIUM ZIRCONIUM CYCLOSILICATE,G74,List of FDA Approved Drugs,SODIUM ZIRCONIUM CYCLOSILICATE,SODIUM ZIRCONIUM CYCLOSILICATE - NDA,2018-05-18,2018-05-18,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SOFOSBUVIR,G74,List of FDA Approved Drugs,SOFOSBUVIR,SOFOSBUVIR - NDA,2013-12-06,2013-12-06,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SOFOSBUVIR; VELPATASVIR,G74,List of FDA Approved Drugs,SOFOSBUVIR; VELPATASVIR,SOFOSBUVIR; VELPATASVIR - NDA,2016-06-28,2016-06-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SOFOSBUVIR; VELPATASVIR; VOXILAPREVIR,G74,List of FDA Approved Drugs,SOFOSBUVIR; VELPATASVIR; VOXILAPREVIR,SOFOSBUVIR; VELPATASVIR; VOXILAPREVIR - NDA,2017-07-18,2017-07-18,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SOLIFENACIN,G74,List of FDA Approved Drugs,SOLIFENACIN,SOLIFENACIN - NDA,2004-11-19,2004-11-19,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SOLRIAMFETOL,G74,List of FDA Approved Drugs,SOLRIAMFETOL,SOLRIAMFETOL - NDA,2019-03-20,2019-03-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SOMAPACITAN-BECO,G74,List of FDA Approved Drugs,SOMAPACITAN-BECO,SOMAPACITAN-BECO - BLA,2020-08-28,2020-08-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SONIDEGIB,G74,List of FDA Approved Drugs,SONIDEGIB,SONIDEGIB - NDA,2015-07-24,2015-07-24,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SORAFENIB TOSYLATE,G74,List of FDA Approved Drugs,SORAFENIB TOSYLATE,SORAFENIB TOSYLATE - NDA,2005-12-01,2005-12-01,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SOTORASIB,G74,List of FDA Approved Drugs,SOTORASIB,SOTORASIB - NDA,2021-05-28,2021-05-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SPESOLIMAB-SBZO,G74,List of FDA Approved Drugs,SPESOLIMAB-SBZO,SPESOLIMAB-SBZO - BLA,2022-09-01,2022-09-01,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SPINOSAD,G74,List of FDA Approved Drugs,SPINOSAD,SPINOSAD - NDA,2011-01-18,2011-01-18,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
STIRIPENTOL,G74,List of FDA Approved Drugs,STIRIPENTOL,STIRIPENTOL - NDA,2018-08-20,2018-08-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SUGAMMADEX,G74,List of FDA Approved Drugs,SUGAMMADEX,SUGAMMADEX - NDA,2015-12-15,2015-12-15,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SULFUR HEXAFLUORIDE LIPID-TYPE A MICROSPHERES,G74,List of FDA Approved Drugs,SULFUR HEXAFLUORIDE LIPID-TYPE A MICROSPHERES,SULFUR HEXAFLUORIDE LIPID-TYPE A MICROSPHERES - NDA,2014-10-10,2014-10-10,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SUNITINIB MALATE,G74,List of FDA Approved Drugs,SUNITINIB MALATE,SUNITINIB MALATE - NDA,2006-01-26,2006-01-26,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SUTIMLIMAB-JOME,G74,List of FDA Approved Drugs,SUTIMLIMAB-JOME,SUTIMLIMAB-JOME - BLA,2022-02-04,2022-02-04,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
SUVOREXANT,G74,List of FDA Approved Drugs,SUVOREXANT,SUVOREXANT - NDA,2014-08-13,2014-08-13,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TADALAFIL,G74,List of FDA Approved Drugs,TADALAFIL,TADALAFIL - NDA,2003-11-21,2003-11-21,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TAFAMIDIS MEGLUMINE,G74,List of FDA Approved Drugs,TAFAMIDIS MEGLUMINE,TAFAMIDIS MEGLUMINE - NDA,2019-05-03,2019-05-03,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TAFASITAMAB-CXIX,G74,List of FDA Approved Drugs,TAFASITAMAB-CXIX,TAFASITAMAB-CXIX - BLA,2020-07-31,2020-07-31,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TAFENOQUINE,G74,List of FDA Approved Drugs,TAFENOQUINE,TAFENOQUINE - NDA,2018-07-20,2018-07-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TAFLUPROST,G74,List of FDA Approved Drugs,TAFLUPROST,TAFLUPROST - NDA,2012-02-10,2012-02-10,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TAGRAXOFUSP-ERZS,G74,List of FDA Approved Drugs,TAGRAXOFUSP-ERZS,TAGRAXOFUSP-ERZS - BLA,2018-12-21,2018-12-21,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TALAZOPARIB TOSYLATE,G74,List of FDA Approved Drugs,TALAZOPARIB TOSYLATE,TALAZOPARIB TOSYLATE - NDA,2018-10-16,2018-10-16,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TALIGLUCERASE ALFA,G74,List of FDA Approved Drugs,TALIGLUCERASE ALFA,TALIGLUCERASE ALFA - BLA,2012-05-01,2012-05-01,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TAPENTADOL,G74,List of FDA Approved Drugs,TAPENTADOL,TAPENTADOL - NDA,2008-11-20,2008-11-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TAPINAROF,G74,List of FDA Approved Drugs,TAPINAROF,TAPINAROF - NDA,2022-05-23,2022-05-23,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TASIMELTEON,G74,List of FDA Approved Drugs,TASIMELTEON,TASIMELTEON - NDA,2014-01-31,2014-01-31,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TAVABOROLE,G74,List of FDA Approved Drugs,TAVABOROLE,TAVABOROLE - NDA,2014-07-07,2014-07-07,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TAZEMETOSTAT HYDROBROMIDE,G74,List of FDA Approved Drugs,TAZEMETOSTAT HYDROBROMIDE,TAZEMETOSTAT HYDROBROMIDE - NDA,2020-01-23,2020-01-23,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TBO-FILGRASTIM,G74,List of FDA Approved Drugs,TBO-FILGRASTIM,TBO-FILGRASTIM - BLA,2012-08-29,2012-08-29,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TEBENTAFUSP-TEBN,G74,List of FDA Approved Drugs,TEBENTAFUSP-TEBN,TEBENTAFUSP-TEBN - BLA,2022-01-25,2022-01-25,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TECHNETIUM TC-99M APCITIDE,G74,List of FDA Approved Drugs,TECHNETIUM TC-99M APCITIDE,TECHNETIUM TC-99M APCITIDE - NDA,1998-09-14,1998-09-14,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TECHNETIUM TC-99M DEPREOTIDE,G74,List of FDA Approved Drugs,TECHNETIUM TC-99M DEPREOTIDE,TECHNETIUM TC-99M DEPREOTIDE - NDA,1999-08-03,1999-08-03,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TECHNETIUM TC-99M TILMANOCEPT,G74,List of FDA Approved Drugs,TECHNETIUM TC-99M TILMANOCEPT,TECHNETIUM TC-99M TILMANOCEPT - NDA,2013-03-13,2013-03-13,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TECLISTAMAB-CQYV,G74,List of FDA Approved Drugs,TECLISTAMAB-CQYV,TECLISTAMAB-CQYV - BLA,2022-10-25,2022-10-25,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TECOVIRIMAT,G74,List of FDA Approved Drugs,TECOVIRIMAT,TECOVIRIMAT - NDA,2018-07-13,2018-07-13,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TEDIZOLID,G74,List of FDA Approved Drugs,TEDIZOLID,TEDIZOLID - NDA,2014-06-20,2014-06-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TEDUGLUTIDE RECOMBINANT,G74,List of FDA Approved Drugs,TEDUGLUTIDE RECOMBINANT,TEDUGLUTIDE RECOMBINANT - NDA,2012-12-21,2012-12-21,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TEGASEROD,G74,List of FDA Approved Drugs,TEGASEROD,TEGASEROD - NDA,2002-07-24,2002-07-24,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TELAPREVIR,G74,List of FDA Approved Drugs,TELAPREVIR,TELAPREVIR - NDA,2011-05-23,2011-05-23,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TELAVANCIN,G74,List of FDA Approved Drugs,TELAVANCIN,TELAVANCIN - NDA,2009-09-11,2009-09-11,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TELBIVUDINE,G74,List of FDA Approved Drugs,TELBIVUDINE,TELBIVUDINE - NDA,2006-10-25,2006-10-25,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TELITHROMYCIN,G74,List of FDA Approved Drugs,TELITHROMYCIN,TELITHROMYCIN - NDA,2004-04-01,2004-04-01,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TELMISARTAN,G74,List of FDA Approved Drugs,TELMISARTAN,TELMISARTAN - NDA,1998-11-10,1998-11-10,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TELOTRISTAT ETIPRATE,G74,List of FDA Approved Drugs,TELOTRISTAT ETIPRATE,TELOTRISTAT ETIPRATE - NDA,2017-02-28,2017-02-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TEMOZOLOMIDE,G74,List of FDA Approved Drugs,TEMOZOLOMIDE,TEMOZOLOMIDE - NDA,1999-08-11,1999-08-11,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TEMSIROLIMUS,G74,List of FDA Approved Drugs,TEMSIROLIMUS,TEMSIROLIMUS - NDA,2007-05-30,2007-05-30,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TENAPANOR,G74,List of FDA Approved Drugs,TENAPANOR,TENAPANOR - NDA,2019-09-12,2019-09-12,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
TENECTEPLASE,G74,List of FDA Approved Drugs,TENECTEPLASE,TENECTEPLASE - BLA,2000-06-02,2000-06-02,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
